Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.9365440610462198,0.5720108695652174,0.2102897102897103,0.3075237399561724,0.8639652667166389
Random Forest,0.8178988587302118,0.23086555016434496,0.7367632367632367,0.35156715528542487,0.8577397241349604
AdaBoost,0.9352053281568995,0.5462184873949579,0.19480519480519481,0.28718703976435933,0.8561740659168647
XGBoost,0.8214130325646776,0.23370607028753992,0.7307692307692307,0.3541515371580731,0.8558093984789827
Bagging,0.9363432511128217,0.5865051903114187,0.16933066933066934,0.2627906976744186,0.8366935195593229
Decision Tree,0.7903544295324475,0.20760153677277718,0.7557442557442557,0.3257265877287406,0.8360356775627429
Logistic Regression,0.7944375648448744,0.19387755102040816,0.6548451548451548,0.2991784573254222,0.8036720516632271
SVM (LinearSVC),0.6447002911744034,0.11578947368421053,0.6483516483516484,0.19648804117468968,0.7044642859382608
Naive Bayes,0.9321262425114629,0.4177215189873418,0.03296703296703297,0.06111111111111111,0.7026833427719463
KNN,0.9344020884233073,0.6019417475728155,0.061938061938061936,0.11231884057971014,0.6948723873608187
